id,장소명,카테고리,키워드,설명,주소
1,스타벅스 공릉DT점,카페,"카페,감성,SNS",드라이브 스루가 가능한 편리한 대형 프랜차이즈 카페,서울 노원구 동일로 1015
2,할리스 노원문화의거리점,카페,"카페,감성,거리,핫플",노원 문화의 거리 중심에 위치한 접근성 좋은 카페,서울 노원구 노해로81길 22-26 1층
3,스타벅스 노원역점,카페,"카페,감성,SNS",유동인구가 많은 노원역 인근의 대표 프랜차이즈 카페,서울 노원구 동일로 1413 남성빌딩 1층
4,노원두물마루 커피&스낵,카페,"카페,감성,여유",간단한 커피와 간식을 즐길 수 있는 소규모 카페,서울 노원구 중랑천동자전거길 1402
5,카페포레스트,카페,"카페,자연,힐링,여유",자연 분위기를 느낄 수 있는 힐링 컨셉 카페,서울 노원구 한글비석로12길 51-49
6,오피셜커피,카페,"카페,감성,SNS",감각적인 인테리어가 돋보이는 트렌디 카페,서울 노원구 동일로184길 69-7 1층 101호
7,투썸플레이스 상계점,카페,"카페,감성,SNS",디저트와 커피를 함께 즐기기 좋은 프랜차이즈 카페,서울 노원구 한글비석로 412 1층
8,스타벅스 태릉입구역DT점,카페,"카페,감성,SNS",접근성과 편의성이 좋은 드라이브 스루 카페,서울 노원구 화랑로 469
9,스타벅스 상계초교사거리점,카페,"카페,감성,SNS",주거지역 인근의 이용하기 편한 카페,서울 노원구 노원로 449
10,호이폴로이커피로스터스,카페,"카페,감성,사진",직접 로스팅한 원두를 사용하는 전문 카페,서울 노원구 동일로186길 64 1층
11,에슬로우커피 공릉점,카페,"카페,감성,여유",조용한 분위기에서 여유를 즐길 수 있는 카페,서울 노원구 노원로 3 우토파크프라자 1층
12,투썸플레이스 태릉입구역점,카페,"카페,감성,SNS",디저트 중심으로 인기가 높은 카페,서울 노원구 동일로 985 1-2층
13,마카모예 브레드바,디저트카페,"카페,감성,사진,SNS",베이커리와 디저트를 함께 즐길 수 있는 감성 카페,"서울 노원구 동일로190길 61 지하1층,1-2층"
14,투썸플레이스 석계역점,카페,"카페,감성,SNS",역세권에 위치한 접근성 좋은 카페,서울 노원구 석계로1길 10 2층
15,꽁냥꽁냥,고양이카페,"카페,체험,감성,힐링",고양이와 교감하며 힐링할 수 있는 이색 카페,서울 노원구 동일로 1058 2층
16,메가MGC커피 공릉도깨비시장점,카페,"카페,가성비,SNS",가성비 좋은 커피를 제공하는 프랜차이즈 카페,서울 노원구 동일로 1026 1층
17,브런힐,카페,"카페,감성,여유",브런치 메뉴와 커피를 함께 즐길 수 있는 카페,서울 노원구 중계로8길 48 1층
18,웨이스테이션,카페,"카페,감성,사진",감각적인 공간 구성의 분위기 좋은 카페,서울 노원구 화랑로 467 2층
19,오누이,카페,"카페,감성,여유",편안한 분위기의 동네 카페,서울 노원구 동일로187길 12-47 1층
20,커피베스코,카페,"카페,감성,SNS",커피 맛에 집중한 소규모 카페,서울 노원구 상계로 55 2층
21,아너카페,카페,"카페,감성,여유",조용한 휴식을 즐기기 좋은 카페,서울 노원구 동일로192다길 9 A동 1-2층
22,할리스 태릉입구역점,카페,"카페,감성,SNS",역 근처에서 이용하기 편한 프랜차이즈 카페,서울 노원구 화랑로 453 1층
23,감각,카페,"카페,감성,사진",사진 찍기 좋은 감성적인 카페 공간,서울 노원구 상계로 77 1층
24,오르름,카페,"카페,감성,여유",차분한 분위기의 힐링형 카페,서울 노원구 노원로1길 121 1층
25,시즌,디저트카페,"카페,감성,사진",디저트 중심의 감성 카페,서울 노원구 상계로3길 38-2 2층
26,씨즌 서울 바이 홍신애,카페,"카페,감성,핫플",유명 셰프 브랜드의 트렌디 카페,서울 노원구 덕릉로145길 108 1층
27,무이로커피,카페,"카페,감성,여유",편안한 분위기의 감성 카페,서울 노원구 동일로186길 77-7 명문빌딩 1층
28,스타쿠빙,카페,"카페,감성,사진",디저트와 커피를 함께 즐길 수 있는 카페,서울 노원구 동일로 1019 1-3층
29,탐앤탐스 하계점,카페,"카페,감성,SNS",넓은 공간을 갖춘 프랜차이즈 카페,서울 노원구 섬밭로 258 1층
30,헤미스,카페,"카페,감성,사진",감각적인 인테리어의 카페,서울 노원구 상계로10길 23 1층
31,아웃캐스트,카페,"카페,감성,핫플",개성 있는 분위기의 트렌디 카페,서울 노원구 상계로3길 10 한일빌딩 지하1층 2~3호
32,니토,카페,"카페,감성,여유",조용하게 머무르기 좋은 카페,서울 노원구 동일로186길 46 1층 101호
